time,name,trash,,,,
0,Housewife_2,100,100,,,85.71428571
0,Housewife_8,100,100,,,85.71428571
0,Housewife_3,100,100,,,
0,Housewife_6,100,100,,,
0,Blue_collar_4,100,100,,,
0,Blue_collar_5,100,100,,,
0,Blue_collar_7,100,100,,,
0,Blue_collar_10,100,100,,,
0,Blue_collar_12,100,100,,,
0,Blue_collar_13,100,100,,,
0,Blue_collar_14,100,100,,,
0,Housewife_11,100,100,,,
0,Student_1,None,0,,,
0,Student_9,None,0,,,
0 ЦђБе,,,85.71428571,,,
1,Housewife_2,100,100,,,
1,Housewife_8,100,100,,,
1,Housewife_3,100,100,,,
1,Housewife_6,100,100,,,
1,Blue_collar_4,100,100,,,
1,Blue_collar_5,100,100,,,
1,Blue_collar_7,100,100,,,
1,Blue_collar_10,100,100,,,
1,Blue_collar_12,100,100,,,
1,Blue_collar_13,100,100,,,
1,Blue_collar_14,100,100,,,
1,Housewife_11,100,100,,,
1,Student_1,None,0,,,
1,Student_9,None,0,,,
1 ЦђБе,,,85.71428571,,,
2,Housewife_2,100,100,,,
2,Housewife_8,100,100,,,
2,Housewife_3,100,100,,,
2,Housewife_6,100,100,,,
2,Blue_collar_4,100,100,,,
2,Blue_collar_5,100,100,,,
2,Blue_collar_7,100,100,,,
2,Blue_collar_10,100,100,,,
2,Blue_collar_12,100,100,,,
2,Blue_collar_13,100,100,,,
2,Blue_collar_14,100,100,,,
2,Housewife_11,100,100,,,
2,Student_1,None,0,,,
2,Student_9,None,0,,,
2 ЦђБе,,,85.71428571,,,
3,Housewife_2,100,100,,,
3,Housewife_8,100,100,,,
3,Housewife_3,100,100,,,
3,Housewife_6,100,100,,,
3,Blue_collar_4,100,100,,,
3,Blue_collar_5,100,100,,,
3,Blue_collar_7,100,100,,,
3,Blue_collar_10,100,100,,,
3,Blue_collar_12,100,100,,,
3,Blue_collar_13,100,100,,,
3,Blue_collar_14,100,100,,,
3,Housewife_11,100,100,,,
3,Student_1,None,0,,,
3,Student_9,None,0,,,
3 ЦђБе,,,85.71428571,,,
4,Housewife_2,100,100,,,
4,Housewife_8,100,100,,,
4,Housewife_3,100,100,,,
4,Housewife_6,100,100,,,
4,Blue_collar_4,100,100,,,
4,Blue_collar_5,100,100,,,
4,Blue_collar_7,100,100,,,
4,Blue_collar_10,100,100,,,
4,Blue_collar_12,100,100,,,
4,Blue_collar_13,100,100,,,
4,Blue_collar_14,100,100,,,
4,Housewife_11,100,100,,,
4,Student_1,None,0,,,
4,Student_9,None,0,,,
4 ЦђБе,,,85.71428571,,,
5,Housewife_2,100,100,,,
5,Housewife_8,100,100,,,
5,Housewife_3,100,100,,,
5,Housewife_6,100,100,,,
5,Blue_collar_4,100,100,,,
5,Blue_collar_5,100,100,,,
5,Blue_collar_7,100,100,,,
5,Blue_collar_10,100,100,,,
5,Blue_collar_12,100,100,,,
5,Blue_collar_13,100,100,,,
5,Blue_collar_14,100,100,,,
5,Housewife_11,100,100,,,
5,Student_1,None,0,,,
5,Student_9,None,0,,,
5 ЦђБе,,,85.71428571,,,
6,Housewife_2,100,100,,,
6,Housewife_8,100,100,,,
6,Housewife_3,100,100,,,
6,Housewife_6,100,100,,,
6,Blue_collar_4,100,100,,,
6,Blue_collar_5,100,100,,,
6,Blue_collar_7,100,100,,,
6,Blue_collar_10,100,100,,,
6,Blue_collar_12,100,100,,,
6,Blue_collar_13,100,100,,,
6,Blue_collar_14,100,100,,,
6,Housewife_11,100,100,,,
6,Student_1,None,0,,,
6,Student_9,None,0,,,
6 ЦђБе,,,85.71428571,,,
7,Housewife_2,100,100,,,
7,Housewife_8,100,100,,,
7,Housewife_3,100,100,,,
7,Housewife_6,100,100,,,
7,Blue_collar_4,100,100,,,
7,Blue_collar_5,100,100,,,
7,Blue_collar_7,100,100,,,
7,Blue_collar_10,100,100,,,
7,Blue_collar_12,100,100,,,
7,Blue_collar_13,100,100,,,
7,Blue_collar_14,100,100,,,
7,Housewife_11,100,100,,,
7,Student_1,None,0,,,
7,Student_9,None,0,,,
7 ЦђБе,,,85.71428571,,,
8,Housewife_2,100,100,,,
8,Housewife_8,100,100,,,
8,Housewife_3,100,100,,,
8,Housewife_6,100,100,,,
8,Blue_collar_4,100,100,,,
8,Blue_collar_5,100,100,,,
8,Blue_collar_7,100,100,,,
8,Blue_collar_10,100,100,,,
8,Blue_collar_12,100,100,,,
8,Blue_collar_13,100,100,,,
8,Blue_collar_14,100,100,,,
8,Housewife_11,100,100,,,
8,Student_1,None,0,,,
8,Student_9,None,0,,,
8 ЦђБе,,,85.71428571,,,
9,Housewife_2,100,100,,,
9,Housewife_8,100,100,,,
9,Housewife_3,100,100,,,
9,Housewife_6,100,100,,,
9,Blue_collar_4,100,100,,,
9,Blue_collar_5,100,100,,,
9,Blue_collar_7,100,100,,,
9,Blue_collar_10,100,100,,,
9,Blue_collar_12,100,100,,,
9,Blue_collar_13,100,100,,,
9,Blue_collar_14,100,100,,,
9,Housewife_11,100,100,,,
9,Student_1,None,0,,,
9,Student_9,None,0,,,
9 ЦђБе,,,85.71428571,,,
10,Housewife_2,100,100,,,
10,Housewife_8,100,100,,,
10,Housewife_3,100,100,,,
10,Housewife_6,100,100,,,
10,Blue_collar_4,100,100,,,
10,Blue_collar_5,100,100,,,
10,Blue_collar_7,100,100,,,
10,Blue_collar_10,100,100,,,
10,Blue_collar_12,100,100,,,
10,Blue_collar_13,100,100,,,
